COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
479,3828112417,~DOM BUTTER FLAVORED,8 OZ,12,1289561
479,3828112421,DOM PNT BTTR SNDWCH,16 OZ,12,1289551
479,3828112465,DOMINICK'S CINNAMON,16 OZ,12,1289071
479,3828112473,DOM STRIPED SHORTBRE,11.5OZ,12,1289331
479,3828112474,~DOM MINT CREMES,11 OZ,12,1290081
479,3828112477,DOM FUDGE GRAHAMS,12 OZ,12,1289341
479,3828112478,~DOM FUDGE GRAHAMS,16 OZ,12,1290071
479,3828112493,DOM FF FIG BARS,12.5OZ,12,1290091
479,3828112497,DOM FF APPLE BARS,12.5OZ,12,1290101
479,3828112501,DOM FF PEACH/APRICOT,12.5OZ,12,1290111
479,3828112505,DOM LF CHOC DEVILS F,6.75 O,12,1290061
479,3828112513,~DOM RF WHITE CHOC C,8.25OZ,12,1289351
479,3828112517,~DOM RF FUDGE SAND C,8 OZ,12,1289361
479,3828112521,~DOM RF CREME SANDWI,8 OZ,12,1289371
479,3828112525,~DOM RF MIN CHOC CHI,8 OZ,12,1289291
479,3828112529,~DOM RF MINI CINNAMO,8 OZ,12,1289301
479,3828112593,DOM CHUNKY CHOCOLATE,16 OZ,12,1289401
479,3828112597,DOM RED FAT CHOC CHI,16 OZ,12,1289411
479,3828112601,DOM CHEWY CHOC CHIP,18 OZ,12,1289421
479,3828112605,DOM LOW FAT CINNAMN,13 OZ,12,1289081
479,3828112609,DOMINICK'S LF HNY GR,14 OZ,12,1289091
477,3904700148,WALKER SHORTBREAD RO,1.5 OZ,24,1260060
479,4000016623,TWIX CARAMEL CKIE BA,2-11 O,6,9890131
479,4000026621,TWIX P.NUT BTR COOKI,9.43 O,12,1290151
479,4000026623,TWIX CARAMEL COOKIE,11 OZ,12,1290161
479,4000026629,TWIX CHOC FUDGE BARS,8.6 OZ,12,1290181
479,4000026630,TWIX COOKIES N CREME,8.6 OZ,12,1290201
479,4112304107,~DUTCH TWIN SUGAR WA,8 OZ,12,1291211
479,4112305103,DUTCH TWIN FUDGE STI,9 OZ,12,1291201
479,4117506483,PS CHOCOLATE CHIP CO,12 OZ,12,1289431
479,4117506489,PS CHOC CHIP MAC COO,12 OZ,12,1289441
479,4117506490,PS OATMEAL RAISIN CO,12 OZ,12,1289461
479,4117506492,PS CHOC CHIP PEACAN,12 OZ,12,1289451
479,4117506498,PS PEANUT BUTTER COO,12 OZ,12,1289471
478,4185600001,SIR ROBERT LEMON CRI,8 OZ,1,1287890
478,4185600002,SR ROBT. SUNSHNE BTT,8 OZ,1,1287900
478,4185600003,SIR RBT. PCN CHOC CH,8 OZ,1,1287910
478,4185600004,SIR ROBERT RAINBOW C,8 OZ,1,1287860
478,4185600005,SR ROBT. PNUTBUTTR N,8 OZ,1,1287880
478,4245600010,PIROULUXE BELGIN ROL,1.67 O,12,2600210
478,4245600020,PIROULINE CHOC ROLL,2.5 OZ,12,2600200
478,4245600030,MINT ROLL WAFER,2.5 OZ,12,1266280
477,4400000003,NABISCO FFAV FUDGE G,12.5OZ,12,1276400
477,4400000004,NAB BUGS BUNNY GRAHA,2 OZ,24,1274050
477,4400000006,NABISCO FFAV STRIPE,11.5 O,12,1276410
477,4400000007,~NABICSO ARROWROOT B,10.5OZ,6,1278150
477,4400000010,NABISCO FAMILY FAV O,14 OZ,12,1276360
477,4400000022,NABISCO FAMOUS COOKI,11 OZ,6,1275880
477,4400000029,CHUNKY CHIPS AHOY!,15.5 O,12,1278550
477,4400000040,STRIPED CHIPS AHOY,11.5 O,12,127664
477,4400000068,NAB BISCOS SUGAR WAF,10 OZ,6,1275850
477,4400000069,NABISCO OREO BIG STU,14 OZ,12,127752
477,4400000100,FIG NEWTON-PRICE OF,16 OZ,12,1277300
477,4400000107,COOKIES 'N FUDGE SHT,5.5 OZ,12,1274220
477,4400000110,REDUCED FAT CHIPS AH,16 OZ,12,1277630
477,4400000111,COOKIE 'N FUDGE PART,5.5 OZ,12,1274240
477,4400000112,REDUCED FAT OREO,20 OZ,12,1277510
477,4400000113,NABISCO FAMILY FAV O,14 OZ,12,1276360
477,4400000145,FAT FREE NEWTON SING,2.1 OZ,48,1277400
477,4400000159,FAMOUS CHOCOLATE WAF,8 OZ,12,1277650
477,4400000160,WHITE FUDGE COVERED,14 OZ,12,1277560
477,4400000174,SNACKWELLS CHOC SAND,1.7 OZ,48,1277810
477,4400000176,SNACKWELLS CREME SAN,1.7 OZ,48,1277800
477,4400000179,~PECAN PASSION,14 OZ,12,1277770
477,4400000230,NABISCO BAKERS BONUS,14 OZ,12,1276350
477,4400000234,STRAWBERRY NEWTONS,12 OZ,12,1278870
477,4400000243,HONEY MAID CHOCOLATE,16 OZ,12,1274320
